"Country name","Regional indicator","Ladder score","Standard error of ladder score","upperwhisker","lowerwhisker","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","Ladder score in Dystopia","Explained by: Log GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption","Dystopia + residual"
"Italy","Western Europe",6.48309993743896,0.0451819077134132,6.57165670394897,6.39454317092896,10.6228981018066,0.879959225654602,73.800048828125,0.692912638187408,-0.0842291936278343,0.865740358829498,2.43034291267395,1.39314568042755,0.940278589725494,0.797516226768494,0.378634989261627,0.133027300238609,0.0469383597373962,2.79356980323792
"Slovenia","Central and Eastern Europe",6.46070003509521,0.0433687157928944,6.54570293426514,6.37569713592529,10.5293626785278,0.947963953018188,71.3997573852539,0.948626458644867,-0.100677207112312,0.80648410320282,2.43034291267395,1.36046707630157,1.0934864282608,0.721919178962708,0.689796209335327,0.122297622263432,0.0847275406122208,2.38797473907471
"Guatemala","Latin America and Caribbean",6.43450021743774,0.0727281123399734,6.57704734802246,6.29195308685303,9.05340766906738,0.81329083442688,64.958137512207,0.905815482139587,-0.0376007743179798,0.775323867797852,2.43034291267395,0.844810366630554,0.790081381797791,0.519040822982788,0.637702286243439,0.163444861769676,0.104599192738533,3.37481689453125
"Uruguay","Latin America and Caribbean",6.43139982223511,0.0458742305636406,6.52131319046021,6.34148645401001,9.9655933380127,0.924974977970123,69.1000595092773,0.895750939846039,-0.0922202095389366,0.589570641517639,2.43034291267395,1.16350209712982,1.04169452190399,0.649490356445312,0.625455498695374,0.127814456820488,0.223058611154556,2.60034418106079
"Singapore","Southeast Asia",6.37650012969971,0.0425554849207401,6.45990896224976,6.29309129714966,11.4880094528198,0.914898693561554,76.9528579711914,0.927198171615601,-0.0184268355369568,0.0819585770368576,2.43034291267395,1.69539105892181,1.01899373531342,0.896813750267029,0.66372150182724,0.175952792167664,0.546775341033936,1.37884998321533
"Kosovo","Central and Eastern Europe",6.37200021743774,0.0586040206253529,6.48686408996582,6.25713634490967,9.31823635101318,0.820958375930786,63.812744140625,0.868971526622772,0.257416874170303,0.917487859725952,2.43034291267395,0.937334001064301,0.807355582714081,0.482966721057892,0.592869400978088,0.355896562337875,0.0139376996085048,3.18164396286011
"Slovakia","Central and Eastern Europe",6.33090019226074,0.0410051681101322,6.41127014160156,6.25053024291992,10.3689451217651,0.935872316360474,69.2006530761719,0.766379833221436,-0.123774603009224,0.911248385906219,2.43034291267395,1.30442178249359,1.06624519824982,0.652658581733704,0.468032330274582,0.10723027586937,0.0179167669266462,2.71442818641663
"Brazil","Latin America and Caribbean",6.33010005950928,0.0432052463293076,6.41478252410889,6.24541759490967,9.57730484008789,0.88159704208374,66.6008758544922,0.804413914680481,-0.0710481703281403,0.756397485733032,2.43034291267395,1.02784514427185,0.943968415260315,0.570778727531433,0.514313519001007,0.141625821590424,0.11666901409626,3.01490759849548
"Mexico","Latin America and Caribbean",6.31680011749268,0.0527584962546825,6.42020654678345,6.2133936882019,9.85891628265381,0.830884099006653,68.5972595214844,0.862494587898254,-0.146808668971062,0.799083590507507,2.43034291267395,1.1262321472168,0.829717218875885,0.633654713630676,0.584987998008728,0.0922042429447174,0.0894470289349556,2.96055626869202
"Jamaica","Latin America and Caribbean",6.30919981002808,0.155861482024193,6.61468839645386,6.00371122360229,9.18620109558105,0.876502156257629,67.5,0.889582931995392,-0.136797055602074,0.884409189224243,2.43034291267395,0.891204595565796,0.932490170001984,0.599096596240997,0.617950081825256,0.0987352132797241,0.0350327864289284,3.13472938537598
"Lithuania","Central and Eastern Europe",6.25540018081665,0.0453417412936687,6.3442702293396,6.1665301322937,10.498724937439,0.935331404209137,67.9060516357422,0.773194313049316,-0.20268277823925,0.825632035732269,2.43034291267395,1.34976315498352,1.06502652168274,0.611885190010071,0.476324439048767,0.0557553507387638,0.0725164264440536,2.62411284446716
